fips,lifeExp,se
8001007801,74.4,3.97
8001007802,74.3,2.3108
8001007900,69.8,1.6002
8001008000,77.2,1.2953
8001008100,80.9,1.9692
8001008200,76.6,1.9883
8001008308,72.3,1.4037
8001008309,75,1.8138
8001008353,79.4,2.8771
8001008401,76.1,1.2401
8001008402,77.3,1.7285
8001008505,77.1,1.7483
8001008506,72.7,1.4114
8001008507,79.6,2.1426
8001008508,76.4,2.0196
8001008523,79.2,2.0632
8001008524,78.6,1.7587
8001008529,80,2.0129
8001008533,76.4,1.1718
8001008534,78.9,2.0182
8001008535,78.4,2.8893
8001008537,80.4,2.0788
8001008538,81.3,2.1303
8001008539,81,2.7481
8001008540,82.4,3.1703
8001008541,83.1,3.3451
8001008542,76.8,2.2467
8001008543,76.6,1.2678
8001008544,81.3,1.9838
8001008545,81.7,2.3146
8001008546,81.3,3.0625
8001008547,75,1.597
8001008550,83.2,3.2379
8001008603,74.8,1.5534
8001008604,77.7,1.2864
8001008605,77.1,1.1454
8001008606,79,1.9341
8001008705,74.9,1.4372
8001008706,72.9,1.3796
8001008709,76.8,1.8181
8001008801,74.8,1.4562
8001008802,74.7,1.9982
8001008901,75.8,2.2178
8001009001,76.8,1.7503
8001009002,77.8,1.4321
8001009101,75.5,1.4283
8001009103,77.5,2.7109
8001009104,77.3,2.6535
8001009202,76.5,1.3665
8001009203,77.1,2.1526
8001009204,77.9,2.3559
8001009206,79.3,3.122
8001009207,79.4,2.1417
8001009304,77.8,1.7281
8001009306,81.3,3.828
8001009307,79.6,3.4205
8001009308,79.5,2.0626
8001009309,78.7,1.239
8001009310,79.5,1.7962
8001009316,78.7,1.3895
8001009318,77.1,2.5375
8001009319,67.7,1.1628
8001009320,72.4,2.0638
8001009321,77.4,1.954
8001009322,80.8,2.2976
8001009323,78.8,2.4321
8001009325,84.1,2.7486
8001009326,82.3,1.7344
8001009327,79.8,1.4748
8001009401,79.7,1.4076
8001009406,80.4,1.8318
8001009407,78.5,1.9464
8001009408,86.3,3.6573
8001009409,82.2,2.3282
8001009410,80,1.2841
8001009411,79.2,1.4043
8001009501,78.7,1.2681
8001009502,79.3,2.1996
8001009553,74.3,2.3586
8001009603,76.1,1.4496
8001009604,76,1.1697
8001009606,77.8,2.6643
8001009607,77.3,1.6181
8001009608,82.3,3.5224
8001009751,72.3,2.1048
8001009752,79.4,2.966
8001015000,74.2,1.5053
8001060100,83.2,3.3076
8001060200,79,3.1167
8003960000,81,1.178
8003960100,81,1.3011
8003960200,75.5,0.9393
8003960300,75.1,1.6303
8005004952,79.7,3.318
8005005551,71,1.9581
8005005552,76.5,1.8017
8005005553,79.3,2.1555
8005005611,81.3,1.8598
8005005612,80.8,1.9205
8005005614,79.7,1.6195
8005005619,81.1,1.1222
8005005620,84.7,1.9845
8005005621,82.2,1.2838
8005005622,85,2.3083
8005005623,80.9,1.2124
8005005624,82.5,2.0131
8005005625,79.7,2.4372
8005005626,81.2,1.3942
8005005627,82.2,1.4649
8005005628,81.3,1.3079
8005005629,84.6,2.7184
8005005630,82.1,1.8724
8005005631,80.6,1.6752
8005005632,85.6,3.0027
8005005633,87.8,3.6902
8005005634,84.1,1.7488
8005005635,83.3,1.2326
8005005636,81.7,1.583
8005005700,75.2,3.8054
8005005800,78.3,1.6649
8005005951,77,0.9755
8005005952,83.9,2.1487
8005006000,76.1,2.1632
8005006100,73.2,1.4155
8005006200,75.6,1.3518
8005006300,76.6,1.6739
8005006400,79.6,2.624
8005006501,75.1,2.2478
8005006502,77,1.8124
8005006601,74.7,1.5059
8005006603,80.8,1.4965
8005006604,78.1,1.4835
8005006704,81.9,1.0371
8005006706,86.3,2.5934
8005006707,81.1,1.3233
8005006708,82.5,1.3581
8005006709,85.4,2.328
8005006711,81.3,1.601
8005006712,81.1,3.045
8005006808,83.2,1.8262
8005006815,80,1.7602
8005006854,78.7,1.7577
8005006855,81.9,0.9726
8005006856,80.3,2.7321
8005006857,84.2,2.6185
8005006858,78.8,1.9754
8005007101,82.6,2.2729
8005007103,81.8,3.7935
8005007104,81.4,3.8948
8005007105,80.3,3.1866
8005007201,76.5,1.0751
8005007202,73.6,1.5035
8005007301,75.7,2.9568
8005007302,74.6,2.3268
8005007400,75.9,1.0762
8005007500,78.2,1.9386
8005007600,77.8,2.5892
8005007702,77.6,0.9165
8005007703,78.2,2.0574
8005007704,79.1,2.2719
8005015100,79.2,1.4298
8005080000,81.1,2.9507
8005080100,76.3,1.2248
8005080200,82.4,2.867
8005080300,78.7,1.5582
8005080400,81,2.3168
8005080500,81.9,2.1604
8005080600,78.3,2.7487
8005080700,78.7,1.1466
8005080800,80,3.4724
8005080900,80.3,2.3052
8005081000,76.5,1.5326
8005081100,80.4,3.6841
8005081200,77.9,2.2888
8005081300,77,2.468
8005081400,78.1,1.3253
8005081600,77.7,1.405
8005081700,83.6,3.3155
8005081800,75.9,1.0837
8005081900,79.2,2.8108
8005082000,76.2,2.1107
8005082300,76.7,2.4122
8005082400,77.9,1.639
8005082500,77,2.216
8005082600,75.4,2.2387
8005082700,79.6,2.2978
8005083000,81.3,2.6326
